# time energy
0.0 0.357592920787
0.01 0.357626864269
0.02 0.357621777863
0.03 0.357579361107
0.04 0.357514450581
0.05 0.357447057763
0.06 0.357393249615
0.07 0.357360490932
0.08 0.357348354469
0.09 0.357351948569
0.1 0.357365249495
0.11 0.357383088997
0.12 0.357401849741
0.13 0.357419392996
0.14 0.357434689666
0.15 0.357447425827
0.16 0.357457690922
0.17 0.357465767024
0.18 0.357472001611
0.19 0.357476738608
0.2 0.357480285952
0.21 0.357482904165
0.22 0.357484805962
0.23 0.357486160979
0.24 0.357487102311
0.25 0.357487733187
0.26 0.357488132999
0.27 0.357488362427
0.28 0.35748846762
0.29 0.357488483534
0.3 0.35748843655
0.31 0.357488346509
0.32 0.357488228279
0.33 0.357488092957
0.34 0.357487948784
0.35 0.357487801848
0.36 0.357487656616
0.37 0.357487516343
0.38 0.357487383374
0.39 0.357487259386
0.4 0.357487145564
0.41 0.35748704274
0.42 0.357486951494
0.43 0.357486872235
0.44 0.357486805265
0.45 0.357486750823
0.46 0.35748670912
0.47 0.357486680369
0.48 0.357486664803
0.49 0.357486662689
0.5 0.357486674338
0.51 0.357486700105
0.52 0.357486740387
0.53 0.357486795609
0.54 0.357486866199
0.55 0.357486952549
0.56 0.357487054954
0.57 0.357487173511
0.58 0.357487307984
0.59 0.357487457592
0.6 0.357487620704
0.61 0.357487794394
0.62 0.357487973788
0.63 0.357488151127
0.64 0.357488314389
0.65 0.357488445302
0.66 0.357488516468
0.67 0.357488487201
0.68 0.357488297583
0.69 0.357487859998
0.7 0.357487047346
0.71 0.357485677027
0.72 0.357483490275
0.73 0.357480127831
0.74 0.357475106902
0.75 0.357467813261
0.76 0.357457540688
0.77 0.35744364312
0.78 0.357425913793
0.79 0.35740534597
0.8 0.357385362133
0.81 0.357373178754
0.82 0.357379886423
0.83 0.357416393007
0.84 0.357483186458
0.85 0.357559306187
0.86 0.3576063634
0.87 0.357595788814
0.88 0.35753510328
0.89 0.357460592655
0.9 0.357405983953
0.91 0.357383199728
0.92 0.357386147104
0.93 0.357402795449
0.94 0.357423027377
0.95 0.357440632037
0.96 0.357452330813
0.97 0.357456170129
0.98 0.357450189977
0.99 0.35743153603
# Average total energy:       0.36
# Standard deviation:       0.00
