# time temperature
0.0 0.722784221241
0.01 0.717100513617
0.02 0.718156068909
0.03 0.72579529966
0.04 0.738717982477
0.05 0.754896582693
0.06 0.772151602447
0.07 0.788635081752
0.08 0.803082226147
0.09 0.814835520468
0.1 0.823728265157
0.11 0.829921165356
0.12 0.833752936864
0.13 0.835629987958
0.14 0.835956903027
0.15 0.835099224316
0.16 0.833368039786
0.17 0.831017561814
0.18 0.828249480562
0.19 0.825220186936
0.2 0.822048642872
0.21 0.818823768474
0.22 0.815610865689
0.23 0.812456955507
0.24 0.809395083693
0.25 0.806447725404
0.26 0.803629439362
0.27 0.800948915693
0.28 0.798410543588
0.29 0.796015603966
0.3 0.793763172091
0.31 0.791650797485
0.32 0.78967501371
0.33 0.787831718745
0.34 0.78611645728
0.35 0.784524628889
0.36 0.78305164042
0.37 0.781693016527
0.38 0.78044447899
0.39 0.779302002882
0.4 0.778261855744
0.41 0.77732062444
0.42 0.776475233261
0.43 0.775722955982
0.44 0.775061423967
0.45 0.774488631894
0.46 0.774002942323
0.47 0.773603090049
0.48 0.773288186937
0.49 0.773057727778
0.5 0.772911597561
0.51 0.772850080379
0.52 0.772873870094
0.53 0.772984082665
0.54 0.773182269872
0.55 0.773470433858
0.56 0.77385104149
0.57 0.774327036993
0.58 0.774901850439
0.59 0.775579398455
0.6 0.776364071786
0.61 0.777260701732
0.62 0.778274493812
0.63 0.779410911579
0.64 0.780675485695
0.65 0.782073512048
0.66 0.783609586321
0.67 0.785286898925
0.68 0.787106180807
0.69 0.78906414382
0.7 0.791151195476
0.71 0.793348124636
0.72 0.795621354839
0.73 0.797916263275
0.74 0.800148018282
0.75 0.802189525368
0.76 0.803856670991
0.77 0.80489266334
0.78 0.804956827256
0.79 0.803629949201
0.8 0.80045874674
0.81 0.795072889642
0.82 0.787405161361
0.83 0.777998282661
0.84 0.768261336174
0.85 0.760392096619
0.86 0.756716590868
0.87 0.758622168619
0.88 0.765802221933
0.89 0.776451407294
0.9 0.788236471379
0.91 0.799265310265
0.92 0.808511345492
0.93 0.815723065202
0.94 0.821118564254
0.95 0.825096929494
0.96 0.828046078467
0.97 0.830234334656
0.98 0.831745945216
0.99 0.832424618787
# Average temperature:       0.79
# Standard deviation:       0.03
