# time energy
0.0 0.289014476572
0.01 0.29006150032
0.02 0.293135840832
0.03 0.296837995232
0.04 0.297997075905
0.05 0.295545908938
0.06 0.292280808552
0.07 0.290739282932
0.08 0.29115794544
0.09 0.292557825407
0.1 0.293961924012
0.11 0.294961229197
0.12 0.295246320464
0.13 0.294563864327
0.14 0.293272770884
0.15 0.292062566606
0.16 0.291546179274
0.17 0.292367969609
0.18 0.29437545414
0.19 0.295501632315
0.2 0.294138232431
0.21 0.292042210849
0.22 0.291656221524
0.23 0.293146109517
0.24 0.294665106316
0.25 0.294461882075
0.26 0.293226305515
0.27 0.292254932421
0.28 0.29193600726
0.29 0.292733768833
0.3 0.294231545432
0.31 0.294768455227
0.32 0.294133867468
0.33 0.293349385916
0.34 0.292643778372
0.35 0.292177758305
0.36 0.292434176141
0.37 0.293416235066
0.38 0.294376025354
0.39 0.294745226919
0.4 0.294730881673
0.41 0.294031231843
0.42 0.292679272292
0.43 0.291636677253
0.44 0.291739792068
0.45 0.293205614463
0.46 0.294993772756
0.47 0.295468925242
0.48 0.294549169334
0.49 0.293483766938
0.5 0.292989188131
0.51 0.293101797833
0.52 0.29370350349
0.53 0.29424720943
0.54 0.293772978811
0.55 0.292359570459
0.56 0.291559705961
0.57 0.292611956821
0.58 0.294810510084
0.59 0.295656823015
0.6 0.294332154804
0.61 0.292567770295
0.62 0.291527914877
0.63 0.291689305742
0.64 0.292973199682
0.65 0.294053399607
0.66 0.294036972705
0.67 0.293728640804
0.68 0.293957969597
0.69 0.294317697238
0.7 0.293861375901
0.71 0.29255900218
0.72 0.291605155042
0.73 0.291934881191
0.74 0.293388069932
0.75 0.294992745607
0.76 0.295209746604
0.77 0.293717761466
0.78 0.292329525731
0.79 0.292275221851
0.8 0.292919625547
0.81 0.293289404149
0.82 0.293327169702
0.83 0.29350416265
0.84 0.293722406749
0.85 0.293617802855
0.86 0.293478961879
0.87 0.293628714428
0.88 0.293652495265
0.89 0.293179619903
0.9 0.29276974858
0.91 0.292779804832
0.92 0.293043736964
0.93 0.293707241985
0.94 0.294212228588
0.95 0.293466188155
0.96 0.292530872662
0.97 0.292900190149
0.98 0.293740541154
0.99 0.293511591001
# Average total energy:       0.29
# Standard deviation:       0.00
