# time temperature
0.0 0.714799787157
0.01 0.646508272244
0.02 0.477153310378
0.03 0.303010112098
0.04 0.230146397001
0.05 0.290911234119
0.06 0.418920880906
0.07 0.518020603431
0.08 0.536088061709
0.09 0.480616412094
0.1 0.39354080025
0.11 0.321171788934
0.12 0.296362191576
0.13 0.327070640436
0.14 0.391402048297
0.15 0.448905382549
0.16 0.462441703694
0.17 0.419987498884
0.18 0.350660702291
0.19 0.311499203821
0.2 0.331469636883
0.21 0.375286275958
0.22 0.386669755711
0.23 0.353283361449
0.24 0.314325596334
0.25 0.310791155009
0.26 0.340586937663
0.27 0.370122632555
0.28 0.368937359096
0.29 0.329288602699
0.3 0.27597944432
0.31 0.249528130819
0.32 0.266235617603
0.33 0.309404874909
0.34 0.35160466699
0.35 0.367786654362
0.36 0.343851156473
0.37 0.288295112666
0.38 0.230431099522
0.39 0.200353658548
0.4 0.213094186937
0.41 0.266668773224
0.42 0.336537993242
0.43 0.380895202068
0.44 0.367901181437
0.45 0.301453909012
0.46 0.224146364887
0.47 0.185655648593
0.48 0.200746306154
0.49 0.245409916066
0.5 0.287852815875
0.51 0.311903380229
0.52 0.321330206143
0.53 0.334016164649
0.54 0.363565252603
0.55 0.396018616104
0.56 0.39543815219
0.57 0.345177094149
0.58 0.279224974373
0.59 0.258499812721
0.6 0.307411606272
0.61 0.39158040422
0.62 0.457278690843
0.63 0.470791931718
0.64 0.435648914683
0.65 0.385762717989
0.66 0.351148304895
0.67 0.335665051608
0.68 0.333727846087
0.69 0.350538433871
0.7 0.3927281078
0.71 0.445401028655
0.72 0.472891391985
0.73 0.449677931179
0.74 0.386741796382
0.75 0.327987596613
0.76 0.318794048695
0.77 0.364859879401
0.78 0.426900127136
0.79 0.464724242544
0.8 0.47106047472
0.81 0.460215062043
0.82 0.443576622717
0.83 0.42529566014
0.84 0.410951011353
0.85 0.405792577227
0.86 0.408096996485
0.87 0.415033755524
0.88 0.428796206916
0.89 0.447401027204
0.9 0.457975903862
0.91 0.449093273768
0.92 0.421339937489
0.93 0.386888900567
0.94 0.367304047781
0.95 0.374316564261
0.96 0.389175351995
0.97 0.388524449455
0.98 0.379098124395
0.99 0.380089901207
# Average temperature:       0.37
# Standard deviation:       0.09
